connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,video_description,video_url,channel_id,channel_name,published_at,view_count,like_count,favorite_count,comment_count,thumbnail_url,clean_video_title,title_word_count,title_char_count,clean_video_description,description_word_count,description_char_count,sentiment_score,sentiment_label,video_age_days,video_age_hours,view_count_numeric,like_count_numeric,favorite_count_numeric,comment_count_numeric,hashtags,hashtag_count,brand_mentions,brand_count,content_type,total_engagement,engagement_rate,viral_score,quality_score,performance_bucket
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,F85zvsKMsjo,Pencilmate Loses his Shirt! -in- WELL OFF - Pencilmation Cartoons,0:00 - WELL OFF - Pencilmate finds a wishing well! Share YOUR fan art in our FB group here!,https://www.youtube.com/watch?v=F85zvsKMsjo,UCUAL--p3qAa27luR0IYbjZA,Pencilmation,2018-04-27T17:00:01Z,148287213,672833,0,11700,https://i.ytimg.com/vi/F85zvsKMsjo/hqdefault.jpg,Pencilmate Loses his Shirt! -in- WELL OFF - Pencilmation Cartoons,10,65,0:00 - WELL OFF - Pencilmate finds a wishing well! Share YOUR fan art in our FB group here!,19,91,-0.375,Negative,2960,71057.05,148287213,672833,0,11700,,0,,0,Video,684533,0.4616,100,25,Viral
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,UmV2Noqx05M,Pencilmate Can&#39;t Remember his Password! -in- PENCILMATRIX - Pencilmation Cartoons,0:00 - PENCILMATRIX Pencilmate is stuck in the Password Matrix. More crazy META situations here : 2:47 - A MIDSUMMER ...,https://www.youtube.com/watch?v=UmV2Noqx05M,UCUAL--p3qAa27luR0IYbjZA,Pencilmation,2018-10-09T11:00:02Z,47399978,218728,0,5417,https://i.ytimg.com/vi/UmV2Noqx05M/hqdefault.jpg,Pencilmate Can&#39;t Remember his Password! -in- PENCILMATRIX - Pencilmation Cartoons,10,85,0:00 - PENCILMATRIX Pencilmate is stuck in the Password Matrix. More crazy META situations here : 2:47 - A MIDSUMMER ...,21,120,0.0,Neutral,2795,67103.05,47399978,218728,0,5417,39,1,,0,Video,224145,0.4729,100,70,Viral
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,s5avCJ9MMoA,SkinnyIndonesian24 - PENSI - Pentas Swara Indonesia,SkinnyIndonesian24 (Andovi da Lopez & Jovial da Lopez) mengajak semua orang untuk keliling Indonesia. #PenSI24 ...,https://www.youtube.com/watch?v=s5avCJ9MMoA,UCUTc6457VhzHj-Bt2ejm2BA,skinnyindonesian24,2021-06-14T12:45:13Z,4851685,514722,0,53855,https://i.ytimg.com/vi/s5avCJ9MMoA/hqdefault.jpg,SkinnyIndonesian24 - PENSI - Pentas Swara Indonesia,7,51,SkinnyIndonesian24 (Andovi da Lopez & Jovial da Lopez) mengajak semua orang untuk keliling Indonesia. #PenSI24 ...,16,114,0.0,Neutral,1816,43605.29,4851685,514722,0,53855,PenSI24,1,,0,Video,568577,11.7192,100,60,Viral
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,jC-x-nm-Qd0,Pencilmate! Don&#39;t Waste Paper! 🖨️ | Animation | Cartoons | Pencilmation,Mini Mate that's too much paper! Subscribe: https://goo.gl/8EAkGm Pencilmation Merchandise: ...,https://www.youtube.com/watch?v=jC-x-nm-Qd0,UCw68zxpuQwbAxTqhjvB8ysQ,Pencilmation Live,2021-11-23T09:30:13Z,9012201,23900,0,208,https://i.ytimg.com/vi/jC-x-nm-Qd0/hqdefault.jpg,Pencilmate! Don&#39;t Waste Paper! 🖨️ | Animation | Cartoons | Pencilmation,11,75,Mini Mate that's too much paper! Subscribe: https://goo.gl/8EAkGm Pencilmation Merchandise: ...,11,95,-0.25,Negative,1655,39720.54,9012201,23900,0,208,39,1,,0,Video,24108,0.2675,85,45,Viral
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,SlWllgL_qME,NANG KANGJINSO PENSI OFFICIAL | JIREH UNITED | FEAT. SARLONGKI BEH ,Ne kechok keme pen jongsi nang pun Ledamde neke achak apun Arjapvek nangji kangsai la nanglidung Ne kangthir ne-ot pen ...,https://www.youtube.com/watch?v=SlWllgL_qME,UCJ1qWolFuAvQleRzQi66vSw,Jireh United,2026-04-28T20:05:26Z,48853,2819,0,189,https://i.ytimg.com/vi/SlWllgL_qME/hqdefault.jpg,NANG KANGJINSO PENSI OFFICIAL | JIREH UNITED | FEAT. SARLONGKI BEH,11,66,Ne kechok keme pen jongsi nang pun Ledamde neke achak apun Arjapvek nangji kangsai la nanglidung Ne kangthir ne-ot pen ...,21,122,0.0,Neutral,37,901.96,48853,2819,0,189,,0,,0,Video,3008,6.1572,50,65,Medium
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,ivlqwMoeliU,Pensi 2000MA lift from ground,,https://www.youtube.com/watch?v=ivlqwMoeliU,UCHZbwoUC3Bh4w80eSShvzXQ,Pensi Rescue Oy,2016-03-03T14:13:34Z,5339,8,0,0,https://i.ytimg.com/vi/ivlqwMoeliU/hqdefault.jpg,Pensi 2000MA lift from ground,5,29,,0,0,0.0,Neutral,3745,89899.82,5339,8,0,0,,0,,0,Video,8,0.1498,0,0,Low
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,aZL7i3dnqRo,PENSI TERKOCAK &quot;GUS PUDIN (Tragedi Malam Jum&#39;at)&quot;,Kali ini organisasi nonformal dari madrasah aliyah menampilkan drama komedi yang cukup mengocak perut. Tunggu keseruan ...,https://www.youtube.com/watch?v=aZL7i3dnqRo,UCRiFDoGbDqBSepF8e2hYDqw,Mamapasti,2023-05-30T12:16:26Z,1422158,7117,0,193,https://i.ytimg.com/vi/aZL7i3dnqRo/hqdefault.jpg,PENSI TERKOCAK &quot;GUS PUDIN (Tragedi Malam Jum&#39;at)&quot;,7,63,Kali ini organisasi nonformal dari madrasah aliyah menampilkan drama komedi yang cukup mengocak perut. Tunggu keseruan ...,17,122,0.0,Neutral,1101,26445.77,1422158,7117,0,193,39,1,,0,Video,7310,0.514,75,45,High
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,kukhCPHNDEY,"Ecco i coltelli che puoi portare e quali no, cosa pensi di questa legge? #mondocoltelli",,https://www.youtube.com/watch?v=kukhCPHNDEY,UCNAVpLaGg4vuXbr9jNI1F8g,Mondo Coltelli,2026-05-28T12:00:10Z,52050,688,0,49,https://i.ytimg.com/vi/kukhCPHNDEY/hqdefault.jpg,"Ecco i coltelli che puoi portare e quali no, cosa pensi di questa legge? #mondocoltelli",15,87,,0,0,0.0,Neutral,7,190.05,52050,688,0,49,mondocoltelli,1,,0,Video,737,1.4159,15,60,Low
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,HF0yw-a_wak,PENSI VILA ISABEL,"Conheça a infraestrutura da nossa unidade Vila Isabel, que fica no endereço Rua Sousa Franco, 179 - Vila Isabel. Agende sua ...",https://www.youtube.com/watch?v=HF0yw-a_wak,UC8vf8kc5FiNj6T9jFV46hiQ,PENSI,2020-10-21T20:40:01Z,4116,51,0,0,https://i.ytimg.com/vi/HF0yw-a_wak/hqdefault.jpg,PENSI VILA ISABEL,3,17,"Conheça a infraestrutura da nossa unidade Vila Isabel, que fica no endereço Rua Sousa Franco, 179 - Vila Isabel. Agende sua ...",22,127,0.0,Neutral,2052,49261.38,4116,51,0,0,,0,,0,Video,51,1.2391,0,40,Low
2,Pepsi Connector,youtube,Pensi,2026-06-01 16:29:32.236571,um79TbOXT4M,Tampil di Pensi Ada yang Panik | Besties,"Pensi dimulai, Elsa menjalankan rencana dan siasat jahatnya mencelakai Alea tapi semuanya gagal. ===== Royalty Free Music ...",https://www.youtube.com/watch?v=um79TbOXT4M,UCCmNN9sUF_uxhMDySf1OqQg,QueenDhi,2026-05-29T04:19:00Z,53311,2456,0,248,https://i.ytimg.com/vi/um79TbOXT4M/hqdefault.jpg,Tampil di Pensi Ada yang Panik | Besties,8,40,"Pensi dimulai, Elsa menjalankan rencana dan siasat jahatnya mencelakai Alea tapi semuanya gagal. ===== Royalty Free Music ...",18,125,0.0,Neutral,7,173.73,53311,2456,0,248,,0,,0,Video,2704,5.0721,50,40,Medium
