connector_id,connector_name,platform,source,matched_keyword,title,description,content,url,author,category,published_at,collected_at,title_length,content_length,word_count
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,MMGB: 'Live for now' says Beyonce in Pepsi's new campaign, WATCH the ad film created by 180 LA here,"WATCH the ad film created by 180 LA here by Campaign India Team To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/mmgb-live-for-now-says-beyonce-in-pepsis-new-campaign/4pwrjkye3tafgyzy87npatbd4t,,,,2026-06-05T10:56:46.893894,57,752,121
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,"Pepsi expands K-pop investment, appoints Blackpink as Apac brand ambassador", The soft-drink maker will lean on the wildly popular Korean girl band to launch limited-edition products and a cross-platform campaign,"The soft-drink maker will lean on the wildly popular Korean girl band to launch limited-edition products and a cross-platform campaign byRahul Sachitanand|08/01/2021 After the annoucement of insurerPrudential's tie-up with Korea's SuperM superband, another brand has latched onto the exploding popularity of the K-pop genre: Beverage giant Pepsi has appointed Blackpink as its newest brand ambassador for the Asia-Pacific region. Consisting of members Jisoo, Jennie, Rosé and Lisa, Blackpink joins hands with Pepsi for the “Go all in for what you love” campaign, which aims to encourage Gen Z to be bold and push the boundaries of possibility when it comes to pursuing their passions, according to the company. Blackpink already works with Pepsi in some Asian markets, such as China and Thailand, on endosements. “Pepsi x Blackpink will be launching limited-edition Pepsi products in all participating 7-11 outlets in Malaysia and Singapore, where the four Blackpink personalities will be significantly featured on the collaboration products,"" Jennifer Lee, beverage marketing lead, said in a release. ""We will also be launching a 360-degree marketing campaign to raise brand awareness through various media platforms.” Salman Butt, PepsiCo's senior marketing director for APAC, said that the group ""perpetuates a uniquely youthful attitude and zest for life that perfectly embodies the Pepsi brand"". Blackpink's story of grit and tenacity over the years can resonate with Gen Z and inspire them to emulate their idols, he added. (This article first appeared on CampaignAsia.com) LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/pepsi-expands-k-pop-investment-appoints-blackpink-as-apac-brand-ambassador/45bkqypdwe7xp6mccwpdqt4ed3,,,,2026-06-05T10:56:49.819803,75,1608,241
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,"PepsiCo India appoints Garima Singh, elevates Viraj Chouhan"," Singh moves from HeroMotoCorp, whereas Chouhan was chief government affairs and communications officer","Singh moves from HeroMotoCorp, whereas Chouhan was chief government affairs and communications officer byCampaign India Team|17/06/2022 LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/pepsico-india-appoints-garima-singh-elevates-viraj-chouhan/42xgryw856j8yw17949sa48d5q,,,,2026-06-05T10:56:54.047664,59,164,20
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,Pepsi switches to football in its latest campaign, WATCH the TVC created by JWT India here,"WATCH the TVC created by JWT India here byRaahil Chopra|29/02/2012  Pepsi has launched its big campaign for the summer. The campaign continues with last summer’s ‘change the game’ thought, but has switched sports from cricket to football. The TVC created by JWT India is Pepsi’s first football related campaign in the country. The film shows Ranbir Kapoor walking around the streets along with his friend, who’s displaying his football skills. Every time he sees his friend perform a football skill Kapoor links it to cricket and how he could use the skill to become a cricketer. His friend doesn’t respond to any of his suggestions until they come across a Pepsi vending machine. Kapoor inserts money inside the machine, but the machine doesn’t  deliver the Pepsi. His footballer friend then performs a skill and heads the football onto the machine, which makes the machine release the Pepsi bottle.  His friend then starts drinking Pepsi and tells Kapoor to play football as it helps occasionally. Commenting on their association with football, Deepika Warrier, executive director, marketing, PepsiCo Beverages, India said, “Pepsi has always taken the lead in celebrating newer and emerging youth platforms; from cricket to movies to music, the brand has successfully created memorable campaigns and experiences forYoungistaan.  Football is gaining immense popularity in India and being a true youth soul-mate, Pepsi is proud to be associated with the sport”. Homi Battiwalla, category director, Colas, hydration and Mango based beverages, PepsiCo India, said, “There is no shift in our support for cricket. Pepsi as a brand strongly identifies with cricket in India and last year’s 'Change the Game' campaign cemented that association. We will continue to build on our association with cricket in future also, as we have a long term commitment to the sport. You will see a lot of excitement on cricket from brand Pepsi this year including IPL where we are the On Air associate sponsors, and one of the global sponsors of the ICC Twenty 20 World Cup in Sri Lanka this year. We believe that football is an emerging youth platform in India and with Pepsi being the youth soul mate, decided to focus on the sport along with cricket, movies and music. The new Football campaign continues the Change the Game campaign and brings alive the fun associated with football in true Pepsi style to further engage the youth."" Pepsi are also going on-ground with a soon to be launched seven a side football tournament. Commenting on the initiative Battiwalla added, ""This campaign is our first initiative in the football space and there are a lot of exciting plans. We will talk about them as they come alive. We are finalising the details on our on-ground initiative and will make an announcement at an appropriate time."" Commenting on the new campaign, Saurabh Saksena, executive business director, JWT India, said, “Pepsi is all about youth and their passions, which is reflected in the choice of football as a platform to engage with our TG.  The new campaign retains the original irreverent and fun Pepsi style along with the new football energy and excitement.” The TVC will be followed by a series of initiatives over the year.  The campaign will be supported by a 360-degree approach including outdoor, consumer engagement and social media programmes. Credits: Brand: Pepsi Creative agency: JWT Executive creative director:  Surjo Dutt Senior copywriter: Romit Nair Executive business director: Saurabh Saksena Vice president and client services director: Kundan Joshee Director:  Shujaat Saudagar Producer: Ashit Ghelani (Boot Polissh Films) Music director: Clinton Cerejo Media Planning: Mindshare LATEST
    NEWS In-Depth",https://www.campaignindia.in/article/pepsi-switches-to-football-in-its-latest-campaign/42n96f50kgakr28xd6r5mevdcz,,,,2026-06-05T10:56:58.026565,49,3720,595
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,A history of the Coke vs Pepsi war in 3 1/2 minutes," When PepsiCo unveiled the stevia-based Pepsi True last week, the unofficial ceasefire between Coca-Cola and Pepsi came to a dramatic end and one of marketing's biggest rivalries sparked back to life.
","When PepsiCo unveiled the stevia-based Pepsi True last week, the unofficial ceasefire between Coca-Cola and Pepsi came to a dramatic end and one of marketing's biggest rivalries sparked back to life. byBen Bold|13/10/2014  LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/a-history-of-the-coke-vs-pepsi-war-in-3-1-2-minutes/4trq1ke93v8rm6a900c6tsts4g,,,,2026-06-05T10:57:00.981181,51,251,37
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,PepsiCo and EA Sports launch football gaming platform," Featuring a roster of global football stars, the platform will encourage participation in football and gender equality in the sport","Featuring a roster of global football stars, the platform will encourage participation in football and gender equality in the sport by
          
          

          
          
          

          
          
          |12/07/2023  According to the two brands, the agreement will see both parties create a series of experiences (still yet to be announced) for football fans and deliver activities that “unite the realms of football, music and gaming”.  Among the list of outlined initiatives are entertainment crossovers, in-game integrations and on-pack promotions to grant fans access to exclusive experiences and in-game rewards.  The platform will also feature various star football players within forthcoming activations, including Vini Jr (of Real Madrid and Brazil fame) and Leah Williamson (from Arsenal and England). Adam Warner, head of global sports and partnerships at PepsiCo, said: ""Our brands are uniquely positioned to push the boundaries of football fandom. This partnership enables us to reach football fans and communities worldwide, and to provide them with experiences that elevate their connection to the beautiful game.""  The partnership will build on PepsiCo’s heritage in the football entertainment space, which includes arecent sponsorship of the first-ever women’s Finalissima match at Wembley Stadium, an activation with stars Lionel Messi and Ronaldinho and previous support for the UEFA Women’s Euro 2022, which saw a campaign launched in partnership with Doritos.  PepsiCo additionally claims the partnership will aim to encourage fan participation in football and promote gender equality in the sport.  David Jackson, vice president of brand at EA Sports FC, said: ""For years, PepsiCo's brands have been delivering memorable moments for football fans, and we’re energised to incorporate that rich heritage into our own experiences as we set forth on this remarkable journey with EA Sports FC.”  LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/pepsico-and-ea-sports-launch-football-gaming-platform/4qhhbwwsrdgp6vyne5zs4j1rmp,,,,2026-06-05T10:57:03.742636,53,1960,280
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,Pepsi takes on gender stereotypes with Samantha Ruth Prabhu," Watch the film conceptualised by Leo Burnett here
","Watch the film conceptualised by Leo Burnett here by Campaign India Team To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. To continue enjoying this content, please sign in below. You can register for free for limited further access
  orsubscribenow for full access to all out content. Reset Password:Click here Contact Customer Support at ✓ Access limited free articles each month ✓ Email bulletins – top industry news and insights delivered straight to your inbox Register now  ✓ All the latest local and global industry news ✓ The most inspirational and innovative campaigns ✓ Interviews and opinion from leading industry figures Subscribe now",https://www.campaignindia.in/article/pepsi-takes-on-gender-stereotypes-with-samantha-ruth-prabhu/4e7mv0sgysvks0asy0r152s84x,,,,2026-06-05T10:57:06.122883,59,761,120
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,Pepsi is title sponsor of MTV’s forthcoming Indie channel," Pepsi MTV Indies slated for a February launch; will leverage Pepsi’s marketing, distribution and consumer reach
","Pepsi MTV Indies slated for a February launch; will leverage Pepsi’s marketing, distribution and consumer reach byCampaign India Team|06/02/2014 LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/pepsi-is-title-sponsor-of-mtvs-forthcoming-indie-channel/4y3vgtvjrh5gxrppqdt6b54e40,,,,2026-06-05T10:57:08.767829,57,173,23
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,Ahaan Panday and Aneet Padda debut in Pepsi campaign, Pepsi introduces Ahaan Panday and Aneet Padda as new brand faces through a social-first campaign built around a playful ‘trailer’ reveal.,"Pepsi introduces Ahaan Panday and Aneet Padda as new brand faces through a social-first campaign built around a playful ‘trailer’ reveal. byCampaign India Team|13/03/2026 Pepsi, a flagship brand from PepsiCo India, has introduced Gen Z personalities Ahaan Panday and Aneet Padda as the
  latest members of the Pepsi family. The collaboration marks the beginning of a new pop culture-led phase for the
  brand, with the duo set to headline Pepsi’s upcoming marketing campaign. The reveal was designed as a social media-led activation that played on audience expectations. In the days leading up
  to the announcement, Panday and Padda sparked online curiosity by hinting at their ‘biggest trailer yet’. The
  speculation centred around a possible film trailer, but the brand opted for a twist. Instead, the reveal featured a
  fully branded Pepsi Vanity Trailer, turning the teaser into a deliberate bait-and-switch moment that quickly gained
  traction online. The campaign concept leans into Pepsi’s long-standing positioning within youth culture and self-expression. The brand
  has historically aligned with emerging talent and cultural moments that resonate with younger audiences. By onboarding
  Panday and Padda, Pepsi continues its strategy of partnering with personalities who reflect contemporary youth culture
  and digital conversations. Both actors represent a new generation of entertainers gaining traction among younger audiences. Their growing
  popularity and natural on-screen chemistry are central to the campaign narrative, which aims to capture the
  spontaneity and energy associated with Gen Z culture. Through this partnership, Pepsi positions itself as a
  participant in ongoing pop culture conversations rather than merely a spectator. The reveal film showcases the Pepsi Vanity Trailer as a branded environment designed to reflect the campaign’s tone.
  The trailer features industrial-inspired interiors, prominent Pepsi branding and a fully stocked Pepsi fridge. The
  space functions as a playful hangout zone, combining elements of fandom, pop culture and the brand’s distinctive
  attitude. The set-up reinforces the campaign’s theme of spontaneity and youth-led engagement. Mohak Bhatia, brand lead, Pepsi Cola at PepsiCo India, said, “Pepsi has always partnered with gen-next talent who
  shape youth culture rather than simply reflect it - faces that bring energy, attitude, and cultural influence to the
  forefront. So, when it came to two of the biggest Bollywood debuts of 2025, we didn’t want to make just another
  traditional partnership announcement. We wanted to break through the noise with them, and flipping the script the
  ‘biggest trailer yet’ felt like the freshest way to shake up the feed. As the new generation, Ahaan and Aneet bring an
  effortless, unfiltered chemistry that reflects the unapologetic spirit of Pepsi. We’re incredibly excited to welcome
  them aboard.” Sharing his perspective on the collaboration, Ahaan Panday said, “Pepsi has always been the heartbeat of cool in
  India. Being associated with the brand at this stage of my journey feels incredibly special and something I am deeply
  grateful for. Pepsi has such a strong connection with the youth and I’m excited to now be a part of that legacy.”  Aneet Padda added, “Pepsi embodies that fearless confidence I live for. This campaign therefore feels very natural-
  playful, spontaneous and full of energy. I’m thrilled to join a brand that has always been such a strong part of
  culture.” LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/ahaan-panday-and-aneet-padda-debut-in-pepsi-campaign/4byskrhwjh2cf22aca8jyfedxd,,,,2026-06-05T10:57:12.315705,52,3574,533
14,Campaign India (Pepsi),campaignindia,Campaign India,Pepsi,"‘IAA Retrospect and Prospects’ comes to Mumbai, with Pepsico’s Shivakumar", Event to be hosted in the business capital on 12 February,"Event to be hosted in the business capital on 12 February byCampaign India Team|05/02/2014 After hitting the national capital region, the India Chapter of the International Advertising Association’s (IAA) ‘Retrospect & Prospects’ featuring  Pepsico chairman and CEO D Shivakumar comes to Mumbai on 12 February 2014. The event in Gurgaon saw Shivakumar presenting a sixty-minute review of the highs and the lows experienced by marketing, media and advertising in 2013, and talking about the trends to expect in 2014. Srinivasan Swamy, president, IAA India Chapter and VP-Development, IAA Asia Pacific, said, “This would be infotainment at its best. In sixty minutes we will have the wisdom and insights of a leader of our fraternity encapsulating the immediate past and the near-future in an absorbing audio-visual format. It will be a must-see for all members of our industry. The Delhi audience loved it. We, along with our partner Colors (presenting sponsor), felt there was a need to present this in both Mumbai and Delhi.” Entry to the event is strictly by invitation, informed an IAA statement. Requests for the same may be mailed to: iaaindiachapter@gmail.com. LATEST
    NEWS THE
    WORK",https://www.campaignindia.in/article/iaa-retrospect-and-prospects-comes-to-mumbai-with-pepsicos-shivakumar/46e3hhaxr2bsb2xw6ah1j81wwp,,,,2026-06-05T10:57:15.282160,73,1195,188
