connector_id,connector_name,platform,source,author,title,description,content,url,published_at,input_keyword,matched_term,sentiment,language,collected_at
12,News API Coca cola,newsapi,PRNewswire,,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2370 chars]",https://www.prnewswire.com/news-releases/2026-world-cup-global-health-leaders-demand-fifa-end-its-coca-cola-partnership--vital-strategies-302786183.html,2026-06-04T04:01:00Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:20.987135+05:30
12,News API Coca cola,newsapi,PRNewswire,,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2513 chars]",https://www.prnewswire.com/news-releases/2026-world-cup-global-health-leaders-demand-fifa-end-its-coca-cola-partnership--vital-strategies-302786168.html,2026-06-04T04:01:00Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:20.996439+05:30
12,News API Coca cola,newsapi,Forbes,"Clemente Lisi, Contributor, 
 Clemente Lisi, Contributor
 https://www.forbes.com/sites/clementelisi/",Trophy Tour Highlights Coca-Cola’s Enduring FIFA Partnership,The beverage giant is leveraging soccer's biggest stage to connect with billions of fans as the countdown to tournament continues.,"The FIFA World Cup Trophy is displayed during the Los Angeles stop of The FIFA World Cup 26 Trophy Tour by Coca-Cola at LA Live in Los Angeles on March 24, 2026. (Photo by Frederic J. Brown / AFP via… [+6379 chars]",https://www.forbes.com/sites/clementelisi/2026/06/03/world-cup-trophy-tour-highlights-coca-colas-enduring-fifa-partnership/,2026-06-03T19:26:45Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:20.998193+05:30
12,News API Coca cola,newsapi,AdAge.com,E.j. Schultz,Coca-Cola agency review pits WPP against Publicis,"The beverage giant is putting its global media, data and technology business in play.",Your Shortcut to Smarter Insights,https://adage.com/agencies/accounts-in-review/aa-coca-cola-media-data-technology-publicis-wpp/,2026-06-03T19:15:56Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:20.999189+05:30
12,News API Coca cola,newsapi,The Times of India,ET Bureau,"Coca-Cola uncaps IPO plans for India bottling business, eyes 2027 listing","The Coca-Cola Company is preparing to take its India bottling business, Hindustan Coca-Cola Holdings (HCCH), public in a significant IPO expected to raise over $1 billion. The listing, likely in 2027, aims to value HCCH at over $10 billion, with Coca-Cola ret…","New Delhi: The Coca-Cola Company is preparing to take its India bottling business public in one of the biggest multinational listings in recent years, with the offering expected to raise well over $1… [+2824 chars]",https://economictimes.indiatimes.com/markets/ipos/fpos/coca-cola-plans-over-1-billion-india-bottling-ipo-eyes-2027-listing/articleshow/131473700.cms,2026-06-03T00:56:11Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.002904+05:30
12,News API Coca cola,newsapi,Medical Daily,Dorothy Brooks,"San Francisco Sues Coca-Cola, Kraft Heinz, and 8 Food Giants Over 'Addictive' Products","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusing ten of America's most powerful food and beverage manufactu…","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusin… [+5721 chars]",https://www.medicaldaily.com/san-francisco-sues-coca-cola-kraft-heinz-8-food-giants-over-addictive-products-475483,2026-06-02T15:22:46Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.004578+05:30
12,News API Coca cola,newsapi,Yahoo Entertainment,,The Coca-Cola Company readies listing of India bottler,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_57358d78-47e2-4bf9-8c06-47530dcbb023,2026-06-02T13:51:39Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:21.007298+05:30
12,News API Coca cola,newsapi,The Times of India,Team Global,"In 1888, a pharmacist’s syrup met carbonated water by chance which made Coca-Cola a global drink","Coca-Cola's origin story is more than just chance. Pharmacist John Pemberton created his syrup during an era of medicinal tonics. The drink's popularity grew through soda fountains, which were popular gathering spots. Pemberton also developed an alcohol-free …","Before Coca-Cola became one of the most recognized brands globally, it began as a syrup made by a pharmacist named John Pemberton, when medicine, drinks, and merchandising often found themselves behi… [+4899 chars]",https://economictimes.indiatimes.com/news/international/us/in-1888-a-pharmacists-syrup-met-carbonated-water-by-chance-which-made-coca-cola-a-global-drink/articleshow/131462121.cms,2026-06-02T10:55:18Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.010030+05:30
12,News API Coca cola,newsapi,The Times of India,Ratna Bhushan,Coca-Cola announces plans to list its largest bottler Hindustan Coca-Cola Holdings (HCCH),"Coca-Cola is exploring a public listing in India for the parent company of its largest bottler, Hindustan Coca-Cola Holdings (HCCH), with a potential 2027 debut on Indian stock exchanges. This move aims to complete the refranchising of HCCH and position it fo…","CocaCola Company is exploring a public listing in India for Hindustan CocaCola Holdings Pvt Ltd (HCCH), parent company of its largest bottler in India Hindustan CocaCola Beverages (HCCB), the Atlanta… [+1600 chars]",https://economictimes.indiatimes.com/markets/stocks/news/coca-cola-announces-plans-to-list-its-largest-bottler-hindustan-coca-cola-holdings-hcch/articleshow/131454284.cms,2026-06-02T04:02:51Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.011734+05:30
12,News API Coca cola,newsapi,BusinessLine,Meenakshi Verma Ambwani,Coca-Cola says it’s looking at listing HCCH on BSE,"The company said that this potential listing will be a significant milestone, completing the refranchising of HCCH and positioning it well to capitalise on the opportunities in the Indian market","Beverage major CocaCola said that it is looking at public listing of Hindustan CocaCola Holdings Pvt. Ltd., which is the parent company of Hindustan CocaCola Beverages Pvt. Ltd. (HCCB), in 2027. Thro… [+1993 chars]",https://www.thehindubusinessline.com/markets/coca-cola-says-its-looking-at-listing-hcch-on-bse/article71051056.ece,2026-06-02T03:46:32Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.013863+05:30
