connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,video_description,video_url,channel_id,channel_name,published_at,view_count,like_count,favorite_count,comment_count,thumbnail_url
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,kvovyIMh5Fw,Tata Motors Recruitment 2026 | Tata Motors Hiring 2026 | Tata Motors Job Vacancy 2026 | Freshers Job,Tata Motors Recruitment 2026 | Tata Motors Hiring 2026 | Tata Motors Job Vacancy 2026 | Freshers Job #tatamotorsjobs2026 ...,https://www.youtube.com/watch?v=kvovyIMh5Fw,UCk4jWOr5W23kjQJBujXkSAA,Study for Dreams,2026-05-31T14:42:16Z,11788,249,0,11,https://i.ytimg.com/vi/kvovyIMh5Fw/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,qT9X90sy2PI,"JSW Motors Car Launch | JSW Motors की धमाकेदार एंट्री, Maruti Suzuki, Tata, Mahindra के छूटे पसीने!",jsw #jswgroup #jswcars #marutisuzuki #marutisuzukisharenews #tatamotors #mahindra #sajjanjindal Indian Car Market में ...,https://www.youtube.com/watch?v=qT9X90sy2PI,UCdYV_l-cgsMRHZvp0zkmujg,Money9,2026-06-01T14:30:06Z,5886,113,0,6,https://i.ytimg.com/vi/qT9X90sy2PI/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,Sunil Kargwal's CURVV has space for everything… even the plans he didn't make. #TakeTheCURVV #TataCURVV #CURVV ...,https://www.youtube.com/watch?v=OWTOXDKdljU,UCNmgKwY9b4MoE04ZFrIWGVw,Tata Motors Cars,2025-06-10T11:02:41Z,2167413,16500,0,107,https://i.ytimg.com/vi/OWTOXDKdljU/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,GZD3e3Mi_eo,Tata Motors PV Future — Growth Ahead or Reverse Gear? BULL vs BEAR,BULL Vs BEAR | Tata Motors क्या है Tata Motors PV का फ्यूचर? TMPV दौड़ेगा या लगाएगा ...,https://www.youtube.com/watch?v=GZD3e3Mi_eo,UCkXopQ3ubd-rnXnStZqCl2w,Zee Business,2026-04-07T09:43:52Z,21731,184,0,4,https://i.ytimg.com/vi/GZD3e3Mi_eo/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,yobwaIkhkLU,Tata Motors Passenger Vehicle Monthly Update I TMPV SHARE DIVIDEND I TATA MOTORS SHARE I TMCV,Tata Motors Passenger Vehicle Monthly Update I TMPV SHARE DIVIDEND I TATA MOTORS SHARE I TMCV ...,https://www.youtube.com/watch?v=yobwaIkhkLU,UCBzrCBDxLG0QgfW85EKSh5A,𝓛𝓮𝓪𝓻𝓷 𝓽𝓸 𝓔𝓪𝓻𝓷 𝓫𝔂 𝔸𝕂ℝ,2026-06-01T09:55:58Z,2014,94,0,1,https://i.ytimg.com/vi/yobwaIkhkLU/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,LDKMRW1KWGw,Amazing miniature TATA Nexon EV Scale Model car #nexon #tatamotors #tatanexon #shorts #nexonev,Amazing miniature TATA Nexon EV Scale Model car #nexon #tatamotors #tatanexon #shorts #nexonev This video is about:- ...,https://www.youtube.com/watch?v=LDKMRW1KWGw,UC-JU85n8FOLIVk0skUUcrdw,Back to Bachpan,2025-02-06T07:30:11Z,6478807,22560,0,15,https://i.ytimg.com/vi/LDKMRW1KWGw/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,hup-I2pwlLo,Tata Motors Recruitment 2025 || Tata Motors New  Job vacancy 2025 #DailyaJobHunt,Tata Group Recruitment 2025 – No Exam & No Fee | Zero Application Charges Great news for jobseekers! Tata Group (including ...,https://www.youtube.com/watch?v=hup-I2pwlLo,UCQ8F9ZuTFxF7BwU8Ek2lZXg,Daily JobHunt,2025-09-15T12:45:15Z,608630,1799,0,125,https://i.ytimg.com/vi/hup-I2pwlLo/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,YAGiUTloHrM,Tata Motors Fc Current Squad 2026/Jsa League Tata Motors Squad Update 2026/Sadhu Marndi ,Tata Motors Fc Current Squad 2026/Jsa League Tata Motors Squad Update 2026/Sadhu Marndi Tata Motors Team Squad 2026 ...,https://www.youtube.com/watch?v=YAGiUTloHrM,UC7HdEBocGwExcpjLxJqTbMQ,Faguram Soren 2.0,2026-06-02T00:18:11Z,793,49,0,3,https://i.ytimg.com/vi/YAGiUTloHrM/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,34rxIz8Bfsk,Tata Motors Team Full Squad 2026 !!,Tata Motors Team Full Squad 2026 !!,https://www.youtube.com/watch?v=34rxIz8Bfsk,UCdaf95vrOVKq1tvSXliEm1w,Star Sports np,2026-06-02T02:00:34Z,4586,419,0,23,https://i.ytimg.com/vi/34rxIz8Bfsk/hqdefault.jpg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,fC0fqpjA-Xg,Tata Motors Car Transformation | 1991 to 2025 in 5 Minutes @tatamotorscars,Tata Motors Cars Evolution 1991 – 2025 | From Sierra to Harrier EV & Beyond ⚡ Witness the incredible journey of Tata Motors ...,https://www.youtube.com/watch?v=fC0fqpjA-Xg,UC2PHmTkbk961QPpv80FVxEA,Rear View Reviews,2025-08-10T05:37:00Z,768817,2508,0,211,https://i.ytimg.com/vi/fC0fqpjA-Xg/hqdefault.jpg
