connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,video_description,video_url,channel_id,channel_name,published_at,view_count,like_count,favorite_count,comment_count,thumbnail_url
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,mp5nanjOul8,"Coca Cola 2 - Tony Kakkar, Neha Kakkar, Junior | Official Video",A Tony Kakkar Production presents COCA COLA 2 ft. Neha Kakkar & Junior Stream here: ...,https://www.youtube.com/watch?v=mp5nanjOul8,UC-ot0zOmCSxXj2Y59oI1k5g,Tony Kakkar,2025-10-10T05:56:23Z,175085425,730831,0,19986,https://i.ytimg.com/vi/mp5nanjOul8/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,f3bCTaAGg1A,"EXPERIMENT: Big Balloons from Toothpaste Eruption with Giant Coca-Cola box, Pepsi, Fanta vs Mentos",Giant #CocaCola #Mentos.,https://www.youtube.com/watch?v=f3bCTaAGg1A,UCsIpNBcovgWNOQ_Lge7PnMw,Toys King,2026-06-08T06:00:39Z,49072,263,0,15,https://i.ytimg.com/vi/f3bCTaAGg1A/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,GabblwJtAR0,"ORBEEZ COCA COLA BALLOON VS CAR, Coca Cola Zero, PowerAde, Fanta, Sprite, Fruko and Mentos Diff Unde","WARNING! Dangerous Crash Test, don´t Try this by yourself!! EXPERIMENT CAR VS BIG EGG Subscribe HaerteTest on ...",https://www.youtube.com/watch?v=GabblwJtAR0,UCqsS8fU6yVxrJr5y_CoUn3w,HaerteTest,2026-06-08T13:00:21Z,61823,121,0,6,https://i.ytimg.com/vi/GabblwJtAR0/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,ffaqVXuWO9o,"#Video | ले ले आई कोका कोला | #Khesari Lal Yadav, #Shilpi Raj | Le Le Aayi Coca Cola | Chaita Geet",रील बनाये Reel Link :- http://surl.li/brvsv ▻ Album :- ले ले आई कोका कोला ▻ Song :- ले ले आई कोका ...,https://www.youtube.com/watch?v=ffaqVXuWO9o,UCEhWiAKLbWydvPy2ft7K6Uw,Gannayak Films,2022-04-06T00:45:00Z,500440114,2686165,0,119648,https://i.ytimg.com/vi/ffaqVXuWO9o/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,hHsveDqJSic,&quot;What Happens When a Baby Drinks Coke? 😱 | Shocking Anatomy Visual!&quot;#BabyDrinksCoke #CocaCola#Shorts,BabyDrinksCoke #CocaCola #Anatomy #HealthAwareness #ViralVideo #TikTokTrend #WhatIf #BodyInsideOut #SodaEffects ...,https://www.youtube.com/watch?v=hHsveDqJSic,UCPH6nC5f4VO79d7lflyGTGg,ISLAM NABI,2025-07-21T07:24:47Z,5522399,22203,0,161,https://i.ytimg.com/vi/hHsveDqJSic/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,Qyy8h6DIYC0,Chocolate Coca Cola,chocolate coke #shorts #cocacola #chocolate #coke #dessert.,https://www.youtube.com/watch?v=Qyy8h6DIYC0,UCA6OsbmA1qlSAZkGSe52cyw,Street Travel Kitchen,2024-07-29T10:43:41Z,25574522,384911,0,242,https://i.ytimg.com/vi/Qyy8h6DIYC0/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,r87zxLepB6g,Pour Coca Cola into condom and see what billions of people don&#39;t know! Creation Daily,Pour Coca Cola into condom and see what billions of people don't know! Creation Daily Pour Coca-Cola into a balloon and see ...,https://www.youtube.com/watch?v=r87zxLepB6g,UCSJdtteJDmHKgjJ5cT2fz7w,Creation Daily,2026-06-09T12:08:12Z,5149,331,0,33,https://i.ytimg.com/vi/r87zxLepB6g/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,47RWnTwoOKA,Coca Cola not Allowed Reaction Baby&#39;sCrying..🤤🥹#shorts p4400,,https://www.youtube.com/watch?v=47RWnTwoOKA,UCnCGgorHKHGj_kkOKWP4v-Q,Zxr Bijon ,2026-06-10T03:30:34Z,10490,42,0,0,https://i.ytimg.com/vi/47RWnTwoOKA/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,K9fbeSshURY,Monster drinks the Coca Cola 🤣 #shorts,,https://www.youtube.com/watch?v=K9fbeSshURY,UCVtD5iA4rUuOK5cQrB_o4ow,Yoeslan,2025-05-25T10:54:00Z,10112897,46862,0,100,https://i.ytimg.com/vi/K9fbeSshURY/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,x6CeWrDyB1k,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups Hello Everyone welcome back to my channel I hope you will ...,https://www.youtube.com/watch?v=x6CeWrDyB1k,UCjiUzhxg0iGckfgpEXQqBYA,Milk Shorts 24,2024-10-20T03:02:57Z,10141345,0,0,34,https://i.ytimg.com/vi/x6CeWrDyB1k/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,9UaG7UL5yS4,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song Nav Haryanvi ...,https://www.youtube.com/watch?v=9UaG7UL5yS4,UCbYXVxwDEWc9sIt6yZhweqQ,Nav Haryanvi,2020-09-04T11:29:47Z,954097842,3641473,0,52418,https://i.ytimg.com/vi/9UaG7UL5yS4/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,2_xcS5xvdcU,What Happened When You Drink Coca-Cola Inside the Human Body-Science in Motion#humanbody #anatomy,,https://www.youtube.com/watch?v=2_xcS5xvdcU,UCylqp0FCVRymRqEL8yIHe0g,Duka Story,2025-07-29T15:04:18Z,17828892,67858,0,556,https://i.ytimg.com/vi/2_xcS5xvdcU/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,Bn140W6ZRaw,Piyegi Coca Cola? 🥤😍🔥 #CocaCola2 #Tonykakkar,,https://www.youtube.com/watch?v=Bn140W6ZRaw,UC-ot0zOmCSxXj2Y59oI1k5g,Tony Kakkar,2025-10-24T09:30:11Z,7408682,49948,0,168,https://i.ytimg.com/vi/Bn140W6ZRaw/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,aK0suouVNE8,Balloon vs Coca Cola AURA +9999 😱🥤💀 #shorts #khamitovy #martaandrustam,Balloon vs Coca Cola AURA +9999 #comedy #tiktok #viral #funny #balloon #cocacola #vs #coke #aura Don't forget to turn ...,https://www.youtube.com/watch?v=aK0suouVNE8,UCm-Qr3k89gtXcuv2jL29XFw,Marta and Rustam,2025-08-13T13:00:01Z,7406573,35997,0,42,https://i.ytimg.com/vi/aK0suouVNE8/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,VQ1yERRYyT0,Coca-Cola 2 😊♥️ l #dance #trending #reels #cocacola #nehakakkar #tonykakkar #shorts #viral #ytshorts,,https://www.youtube.com/watch?v=VQ1yERRYyT0,UC5TZAUAz11ZlV6Om4ZBBLwA,Shiva's Vlogs,2025-10-22T11:50:49Z,4459419,26329,0,102,https://i.ytimg.com/vi/VQ1yERRYyT0/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,G3h9WKmYvdc,Coca-Cola Water Beads Logo #shorts,,https://www.youtube.com/watch?v=G3h9WKmYvdc,UCatfiM69M9ZnNhOzy0jZ41A,Power Vision,2024-06-20T17:31:23Z,31942323,295094,0,171,https://i.ytimg.com/vi/G3h9WKmYvdc/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,y1iDLuWOwXU,Giant Coca Cola vs Small Coca Cola 😱🥤🤣 #shorts #khamitovy #martaandrustam,Giant Coca Cola vs Small Coca Cola #comedy #tiktok #viral #funny #coke #giant #cocacola #vs Don't forget to turn on ...,https://www.youtube.com/watch?v=y1iDLuWOwXU,UCm-Qr3k89gtXcuv2jL29XFw,Marta and Rustam,2025-06-17T12:01:49Z,9190101,40160,0,25,https://i.ytimg.com/vi/y1iDLuWOwXU/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,f-MXWtFXcY4,Coca Cola tu Dance | Cute Kids | Deepak Tulsyan Choreography | G M Dance | Tony kakkar,FACEBOOK: https://www.facebook.com/gmdancecentre ▷ INSTAGRAM: http://instagram.com/gmdcindia ▷ SUBSCRIBE: ...,https://www.youtube.com/watch?v=f-MXWtFXcY4,UCPbUTEjdU04ChIZfi53jczw,G M Dance Centre,2019-04-08T09:26:42Z,200246375,601539,0,0,https://i.ytimg.com/vi/f-MXWtFXcY4/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,ysFHc2VTqiI,Coca Cola | Haryanvi Song | Vakil 420 New Song | New Haryanvi Song | Uzma Malik,"cococola #newharyanvisong #vakeel420 VAKEEL 420 PRESENT ""COCAOLA"" 🗣️ SONG IN THE VOICE OF ""VAKEEL 420 ...",https://www.youtube.com/watch?v=ysFHc2VTqiI,UC-yjipJ95ftkCnXbRHSMGZw,VAKEEL 420,2025-07-17T13:27:03Z,328197,6152,0,479,https://i.ytimg.com/vi/ysFHc2VTqiI/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,FiyBPYXjS9I,Coca Cola vs Pepsi Cappuccino – Who Did It Better? ☕🥤🔥,It's 2025 and the soda world is going wild! Coca-Cola and Pepsi just dropped their own Cappuccino flavors — but which one ...,https://www.youtube.com/watch?v=FiyBPYXjS9I,UCty1A9UoliV8PZypFHaHQ2Q,CAPPUCCINA,2025-06-22T12:00:27Z,4997408,22545,0,67,https://i.ytimg.com/vi/FiyBPYXjS9I/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,DTT_8PFk4KM,You will not GUESS until the last moment? #shorts #cocacola #drpepper 🇺🇲,,https://www.youtube.com/watch?v=DTT_8PFk4KM,UCAE8OR_oZ0UrY8lhyn-FH5g,Quiz ASMR,2024-11-16T18:46:44Z,8728835,220325,0,541,https://i.ytimg.com/vi/DTT_8PFk4KM/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,qQ7h_91Msog,Real Magic can be a work of art  @cocacola #CokePartner,,https://www.youtube.com/watch?v=qQ7h_91Msog,UCq8DICunczvLuJJq414110A,Zach King,2023-12-20T15:01:00Z,693416403,9438246,0,19166,https://i.ytimg.com/vi/qQ7h_91Msog/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,LrNYl_mJAbE,Coca-Cola for Baby by Tsuriki Show,Watch us also here - https://vk.com/club221210689.,https://www.youtube.com/watch?v=LrNYl_mJAbE,UCymK_3BWUcoYVVf5D_GmACQ,Tsuriki Show,2025-03-22T07:45:01Z,9989945,68132,0,41,https://i.ytimg.com/vi/LrNYl_mJAbE/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,bJ0RrVtC-JE,"Coca Cola 2 | Tony Kakkar, Neha Kakkar, Junior | Instagram Trending Song | Dance Cover",Hey Guys My New Dance Video On ' Coca Cola 2 ' Hope You All Like It❤️ • Coca Cola 2 • ⁠Coca Cola 2 Neha Kakkar • ⁠Coca ...,https://www.youtube.com/watch?v=bJ0RrVtC-JE,UCmcd_PX6BfF-EPJ-1Uht4HA,Deepika Dance Studio,2025-10-25T08:13:58Z,13582088,35522,0,937,https://i.ytimg.com/vi/bJ0RrVtC-JE/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,zsJpxxrEPlk,Giant Jelly Water 8 #challenge #cocacola #sprite #food,,https://www.youtube.com/watch?v=zsJpxxrEPlk,UC6iUnq-Guo74yDw4KL0ssSA,good leftovers,2024-11-09T19:09:22Z,10741178,134287,0,228,https://i.ytimg.com/vi/zsJpxxrEPlk/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,ns0jvVmkfsU,"Coca Cola 2 - Tony Kakkar, Neha Kakkar, Junior | Official Video#dance #viralvideo #funny #ytshorts",,https://www.youtube.com/watch?v=ns0jvVmkfsU,UCo5FX2VNw8JLgv3EFvjmTVw,its vishal44k ,2025-10-17T05:39:13Z,8616614,48064,0,119,https://i.ytimg.com/vi/ns0jvVmkfsU/hqdefault.jpg
5,Coca Cola,youtube,Coca Cola,2026-06-10 13:51:39.799561,og0BBq70DHk,Coca-Cola Water Beads Logo,,https://www.youtube.com/watch?v=og0BBq70DHk,UCatfiM69M9ZnNhOzy0jZ41A,Power Vision,2023-04-17T19:50:32Z,91407052,978864,0,1143,https://i.ytimg.com/vi/og0BBq70DHk/hqdefault.jpg
